device_name,device_id
AirPods,"AirPods1,1"
Apple TV (2nd generation),"AppleTV2,1"
Apple TV (3rd generation),"AppleTV3,1"
Apple TV (3rd generation),"AppleTV3,2"
Apple TV (4th generation),"AppleTV5,3"
Apple TV 4K,"AppleTV6,2"
Apple Watch (1st generation),"Watch1,1"
Apple Watch (1st generation),"Watch1,2"
Apple Watch Series 1,"Watch2,6"
Apple Watch Series 1,"Watch2,7"
Apple Watch Series 2,"Watch2,3"
Apple Watch Series 2,"Watch2,4"
Apple Watch Series 3,"Watch3,1"
Apple Watch Series 3,"Watch3,2"
Apple Watch Series 3,"Watch3,3"
Apple Watch Series 3,"Watch3,4"
HomePod,"AudioAccessory1,1"
HomePod,"AudioAccessory1,2"
iPad,"iPad1,1"
iPad 2,"iPad2,1"
iPad 2,"iPad2,2"
iPad 2,"iPad2,3"
iPad 2,"iPad2,4"
iPad (3rd generation),"iPad3,1"
iPad (3rd generation),"iPad3,2"
iPad (3rd generation),"iPad3,3"
iPad (4th generation),"iPad3,4"
iPad (4th generation),"iPad3,5"
iPad (4th generation),"iPad3,6"
iPad Air,"iPad4,1"
iPad Air,"iPad4,2"
iPad Air,"iPad4,3"
iPad Air 2,"iPad5,3"
iPad Air 2,"iPad5,4"
iPad Pro (12.9 inch),"iPad6,7"
iPad Pro (12.9 inch),"iPad6,8"
iPad Pro (9.7 inch),"iPad6,3"
iPad Pro (9.7 inch),"iPad6,4"
iPad (5th generation),"iPad6,11"
iPad (5th generation),"iPad6,12"
"iPad Pro (12.9 inch, 2nd generation)","iPad7,1"
"iPad Pro (12.9 inch, 2nd generation)","iPad7,2"
iPad Pro (10.5 inch),"iPad7,3"
iPad Pro (10.5 inch),"iPad7,4"
iPad (6th generation),"iPad7,5"
iPad (6th generation),"iPad7,6"
iPad mini,"iPad2,5"
iPad mini,"iPad2,6"
iPad mini,"iPad2,7"
iPad mini 2,"iPad4,4"
iPad mini 2,"iPad4,5"
iPad mini 2,"iPad4,6"
iPad mini 3,"iPad4,7"
iPad mini 3,"iPad4,8"
iPad mini 3,"iPad4,9"
iPad mini 4,"iPad5,1"
iPad mini 4,"iPad5,2"
iPhone,"iPhone1,1"
iPhone 3G,"iPhone1,2"
iPhone 3GS,"iPhone2,1"
iPhone 4,"iPhone3,1"
iPhone 4,"iPhone3,2"
iPhone 4,"iPhone3,3"
iPhone 4S,"iPhone4,1"
iPhone 5,"iPhone5,1"
iPhone 5,"iPhone5,2"
iPhone 5c,"iPhone5,3"
iPhone 5c,"iPhone5,4"
iPhone 5s,"iPhone6,1"
iPhone 5s,"iPhone6,2"
iPhone 6,"iPhone7,2"
iPhone 6 Plus,"iPhone7,1"
iPhone 6s,"iPhone8,1"
iPhone 6s Plus,"iPhone8,2"
iPhone SE,"iPhone8,4"
iPhone 7,"iPhone9,1"
iPhone 7,"iPhone9,3"
iPhone 7 Plus,"iPhone9,2"
iPhone 7 Plus,"iPhone9,4"
iPhone 8,"iPhone10,1"
iPhone 8,"iPhone10,4"
iPhone 8 Plus,"iPhone10,2"
iPhone 8 Plus,"iPhone10,5"
iPhone X,"iPhone10,3"
iPhone X,"iPhone10,6"
iPod touch,"iPod1,1"
iPod touch (2nd generation),"iPod2,1"
iPod touch (3rd generation),"iPod3,1"
iPod touch (4th generation),"iPod4,1"
iPod touch (5th generation),"iPod5,1"
iPod touch (6th generation),"iPod7,1"
